Background	FLAGS	OMIM	HGMD	WES
RAD51AP1				
RARS				
RDH16				
RDX				
REL				
RELL2				
RPL3				
RPS6KA1				
RRP9				
RSAD1				
RWDD2B				
SACM1L				
SARM1				
SCG2				
SDR9C7				
SEPN1				
SERPINB12				
SESN1				
SETD4				
SH3BP5				
SHC1				
SLC16A4				
SLC1A3				
SLC22A23				
SLC25A18				
SLC25A34				
SLC2A4RG				
SLC6A6				
SMAD9				
SMOC1				
SNX17				
SNX8				
SPOCK3				
SSTR4				
ST3GAL6				
ST7				
STXBP4				
SUCLA2				
SULT1B1				
SULT1C3				
SULT2B1				
TAT				
TCP1				
TEC				
TESK1				
TFB1M				
TIGD3				
TIPARP				
TMEM156				
TMEM171				
TMEM71				
TRAF1				
TRAF3				
TRIM66				
TRIM7				
UBA1				
UBTF				
UPF1				
USP21				
USP26				
USP50				
USP9Y				
VPS37A				
VPS45				
WIPF2				
XPO4				
YBX3				
ZBTB7B				
ZKSCAN4				
ZNF136				
ZNF154				
ZNF223				
ZNF25				
ZNF420				
ZNF436				
ZNF441				
ZNF517				
ZNF569				
ZNF621				
ZNF623				
ZNF670				
ZNF746				
ZNF776				
ZNF785				
ZNF93				
ZP3				
ZXDA				
A3GALT2				
AADACL2				
AAR2				
ACTL8				
ADAP1				
AHSG				
AKAP7				
AKR1D1				
ALPL				
ANKRD13D				
ANKRD42				
ANKRD53				
APOA1BP				
APTX				
AR				
ARHGAP1				
ARRB2				
ASB11				
ASB13				
ATG14				
ATG4C				
AURKB				
BAIAP2L2				
BANP				
BBS5				
BCL2L13				
BFAR				
BHMT				
BNIP2				
BPHL				
C1R				
C1orf111				
C8orf34				
C8orf76				
C9orf114				
CAPN14				
CASP2				
CCDC51				
CCNT1				
CD82				
CD84				
CDC42EP4				
CEACAM19				
CEP41				
CFLAR				
CHM				
CHRNB1				
CIDEC				
CLEC10A				
CMTM1				
CPSF2				
CRTC2				
CRYZ				
CTRL				
CXorf57				
CYP26A1				
CYP2R1				
CYP2U1				
DCDC2				
DDX23				
DENND2D				
DPCR1				
DPH7				
DRD2				
DSCR3				
EGFL6				
ELF4				
EPHX3				
EPYC				
ERCC1				
ERLEC1				
ERRFI1				
EVI2B				
EVL				
EXOSC5				
F2RL2				
FAF1				
FAM126A				
FAM134A				
FAM160B1				
FARSB				
FBP2				
FGB				
FKBP9				
FLRT2				
FOXO1				
GATA5				
GATAD2B				
GCM1				
GDPD3				
GFOD2				
GLOD4				
GLT6D1				
GPR157				
GPRASP2				
GREB1L				
GRHPR				
GRINA				
GSTA2				
GSTCD				
GTF3C4				
HADHB				
HMOX1				
HNRNPUL1				
HRASLS5				
HS3ST6				
HSD17B13				
ICA1L				
IFFO1				
IL12B				
IL18R1				
IPPK				
IVNS1ABP				
JSRP1				
KCNQ5				
KDELC1				
KIFAP3				
KLHL18				
KLHL36				
KLK2				
LAMP1				
LANCL2				
LDLRAD1				
LDLRAD3				
LENG1				
LIM2				
LIPG				
LMAN1				
LPPR3				
LRRC37A2				
LRRC39				
LRRC4				
LRTM1				
MARK2				
MARS2				
MDM4				
MEF2B				
MEX3B				
MICU1				
MPI				
MPND				
MRPS2				
MS4A10				
MTA1				
MTERFD2				
MUL1				
NANS				
NBPF14				
NCOA4				
NDRG3				
NECAB3				
NELFCD				
NMRK2				
NR3C1				
NTN5				
NUP43				
NXF3				
OPTN				
OR10A7				
OR10H4				
OR10K2				
OR13J1				
OR1J2				
OR1J4				
OR1L8				
OR2M2				
OR2T4				
OR4N5				
OR51A7				
OR51D1				
OR51E1				
OR51E2				
OR52B4				
OR52D1				
OR52E6				
OR52H1				
OR52K1				
OR52N2				
OR5H14				
OR5K4				
OR5L2				
OR5R1				
OR8K1				
PALM2				
PDIA3				
PDLIM3				
PDXK				
PGK2				
PHKG2				
PI4KB				
PILRA				
PJA1				
PKNOX2				
PLEKHB2				
PLRG1				
PNLIPRP3				
PON3				
PPM1M				
PPP2R3C				
PRCP				
PRKCG				
PRKCI				
PROC				
PROSER2				
PRSS21				
PTER				
PTGDR				
RAD52				
RANBP9				
RAP1GDS1				
RASGEF1B				
RASGEF1C				
RELB				
RFX3				
RHAG				
RHCE				
RMND1				
RNF175				
RNF212				
RNF217				
RNFT1				
RNFT2				
RPS6KA4				
RRP1				
RSRC1				
SDCBP2				
SENP2				
SERINC1				
SERPINA6				
SERPING1				
SGCG				
SH3KBP1				
SHB				
SHD				
SIRPB2				
SLC16A14				
SLC16A7				
SLC39A13				
SLC6A8				
SMYD2				
SNX18				
SNX2				
SOCS5				
SPAG4				
SPDYC				
SQLE				
SREK1				
SRPX2				
SSX1				
STAM2				
STAT5B				
STPG1				
STX11				
STXBP3				
SURF2				
SYNDIG1				
TAF4				
TAS2R46				
TBPL2				
TDO2				
TEPP				
TEX26				
THBD				
TMCO6				
TMEM145				
TMOD3				
TMX2				
TOPAZ1				
TREX1				
TRIM24				
TRIM62				
TSC22D4				
TSR3				
TYSND1				
UBA3				
UBAC1				
UCP1				
UST				
UTP14A				
WBSCR17				
WDR37				
WDR47				
WDR88				
WDTC1				
WIPI2				
WNT2B				
WNT9A				
XRCC4				
XXYLT1				
ZADH2				
ZBTB3				
ZC2HC1A				
ZC2HC1C				
ZDHHC23				
ZNF138				
ZNF18				
ZNF184				
ZNF304				
ZNF311				
ZNF324B				
ZNF514				
ZNF649				
ZNF70				
ZNF709				
ZNF845				
ZPLD1				
ZSCAN25				
AADACL3				
ABHD4				
ABI3				
ACTRT1				
ADA				
ADPRHL2				
AGBL3				
AGFG2				
AGPAT4				
AK3				
AKR1C1				
ALCAM				
ALG10				
ANXA1				
ANXA10				
APOA5				
ASB12				
ASH2L				
ASPRV1				
ATP1A3				
AZU1				
B3GALT5				
BCCIP				
BCL2L14				
BHLHB9				
BTN1A1				
C14orf93				
C20orf96				
C5orf45				
C6orf223				
CARM1				
CD19				
CD207				
CD55				
CDK17				
CDKN2AIP				
CEACAM4				
CELA2A				
CEP76				
CERS6				
CLASRP				
CLINT1				
CNN1				
CNN2				
COLEC10				
CRBN				
CREB3L1				
CRISP2				
CTSF				
DCAF4L2				
DDX25				
DDX39A				
DGUOK				
DHRS1				
DKFZP761J1410				
DNAJC14				
DNAJC3				
DSCC1				
DUSP22				
EGFL7				
EHD4				
ELF3				
EMID1				
ENOX2				
ENTPD1				
EOGT				
EPC2				
ERGIC1				
ERI2				
ETNPPL				
FAM173B				
FAM184B				
FAM217B				
FAM26E				
FBXO15				
FBXO25				
FBXO6				
FGF5				
FOXD4				
FOXI1				
FOXR1				
FRMD5				
FUCA2				
GABBR2				
GALM				
GAS2L1				
GAS7				
GDAP2				
GDF2				
GET4				
GGTLC1				
GJB5				
GLCE				
GLRA1				
GNA15				
GNE				
GOPC				
GPATCH4				
GPR1				
GPR132				
GPR137				
GPR141				
GPR143				
GPR176				
GRIA2				
GSTM5				
HADH				
HARBI1				
HAVCR2				
HCAR2				
HIC2				
HSD3B2				
HUS1B				
IDH3B				
IFIT5				
IFT57				
IKZF2				
IKZF4				
IL2RA				
ILK				
IMP4				
INSL6				
IRAK4				
ITPK1				
IZUMO1				
KIAA0895				
KIR3DX1				
KLHDC2				
KLK14				
KPNA2				
KRT12				
KRTAP10-4				
LAIR1				
LAX1				
LCP1				
LEF1				
LETMD1				
LILRA5				
LMOD2				
LPCAT4				
LRRN3				
LYVE1				
MAEL				
MAGEB6				
ME2				
MED17				
METRNL				
MICU3				
MID2				
MKNK1				
MKRN1				
MNT				
MRGPRX1				
MRGPRX3				
MRPS15				
MRPS31				
NR0B2				
NRBP2				
NSUN4				
NUPL2				
ONECUT1				
OR10A2				
OR10A4				
OR10H2				
OR10P1				
OR11L1				
OR13C4				
OR1S2				
OR2A5				
OR2B11				
OR2D2				
OR2F1				
OR2L2				
OR2M7				
OR4D9				
OR4K2				
OR51S1				
OR52A1				
OR6N1				
ORC4				
PARP6				
PAX1				
PDCD1LG2				
PFKFB2				
PI4K2A				
PIGL				
PIP5K1B				
PNLIP				
PNMAL1				
POC1A				
PODXL2				
POU4F2				
PPARA				
PPM1D				
PPOX				
PRDM11				
PRPF6				
PRR19				
PRR5L				
PSMF1				
PTBP3				
PTCHD1				
PYCR1				
PYCRL				
RAET1G				
RALBP1				
RANBP3L				
RBMS2				
RIC3				
RIC8B				
RNF133				
RNF151				
RNF34				
RRH				
RUFY2				
SCARB2				
SCD5				
SERPINB7				
SERPINC1				
SFXN1				
SFXN3				
SGCZ				
SGK494				
SIRT3				
SIRT4				
SLAMF8				
SLC16A12				
SLC22A17				
SLC22A6				
SLC25A45				
SLC30A9				
SLC35F5				
SLC39A3				
SLC41A1				
SLC4A10				
SLC7A6				
SLC9B1				
SMTNL2				
SMURF1				
SNRNP48				
SPACA3				
SPEM1				
SPRED1				
SPTLC3				
ST8SIA6				
STARD10				
STEAP2				
STK11				
STX10				
STX3				
SUN3				
TAF1A				
TAS2R4				
TATDN3				
TBC1D10B				
TEX33				
TGOLN2				
TINAGL1				
TM6SF2				
TM9SF4				
TMEM186				
TMEM38B				
TMOD4				
TMPRSS11D				
TNFRSF25				
TNNT2				
TNPO2				
TRAPPC6A				
TRIM26				
TRIM3				
TRIM33				
TRMT13				
TSFM				
TSPAN17				
TTC13				
TTC23L				
TUBA3D				
TUFM				
UPF3A				
USF2				
VN1R2				
VPS35				
WDFY2				
WDR38				
WDR70				
WDR74				
ZCWPW2				
ZDHHC12				
ZIC4				
ZNF117				
ZNF281				
ZNF320				
ZNF485				
ZNF490				
ZNF512				
ZNF548				
ZNF597				
ZNF732				
ZSCAN31				
ZUFSP				
AAMP				
ACADS				
ACADSB				
ACR				
ACTL9				
ADAD1				
AFG3L2				
AGO3				
AIP				
AKT2				
ALDH1A1				
ALDH1A3				
ALKBH1				
ANKH				
ANKRD29				
ANXA2				
ANXA3				
ANXA4				
AP5S1				
ARHGAP36				
ART4				
ASB4				
ASRGL1				
ATP6V1E2				
BAG5				
BEGAIN				
BEND2				
BFSP2				
BLNK				
BORA				
BRMS1				
C10orf76				
C17orf62				
C22orf29				
C5orf22				
C7orf26				
C8orf74				
C9orf72				
C9orf91				
CALCOCO2				
CALR				
CAPZA3				
CCDC64B				
CCDC83				
CCNB2				
CCNT2				
CD6				
CDC16				
CDH6				
CDKL3				
CENPN				
CGREF1				
CHGA				
CHST12				
CLEC4D				
CLIC5				
CLTC				
CMKLR1				
CNOT4				
COMMD3-BMI1				
CPNE6				
CREB5				
CRYL1				
CSRNP3				
CTH				
CXorf67				
CYB561				
CYTH1				
CYTIP				
DACH2				
DERL3				
DFFA				
DHRS9				
DMRT1				
DNAJA4				
DNAJB1				
DNALI1				
DPT				
DTWD2				
DTX1				
EFCAB4A				
EFEMP1				
EGFL8				
EGR1				
EIF2B3				
ELAC1				
EMC10				
ENO1				
EVA1C				
EXOSC2				
EXOSC7				
FAM53C				
FAM71E2				
FAM71F1				
FBXO46				
FGD1				
FOXJ3				
FTSJ2				
GABRG1				
GC				
GFRAL				
GGNBP2				
GLIPR1				
GLS2				
GLT1D1				
GMCL1				
GOT2				
GPBAR1				
GPC6				
GPN1				
GPN2				
GPR137B				
GRHL2				
GTPBP1				
GZMA				
HARS2				
HCRTR2				
HECTD2				
HOXD12				
HP				
HS6ST1				
HTRA3				
IDO2				
IFIT2				
IFNL3				
IGF2BP3				
IGKV3-11				
ISM1				
ITM2C				
JMJD8				
JPH2				
KCNA4				
KCNK18				
KCNQ2				
KLK10				
KRT14				
LACC1				
LARP6				
LIN54				
LPCAT2				
LRRC10				
LRRC14				
LRRC2				
LRRC23				
LRRC29				
MAGEA4				
MAGEA6				
MEF2BNB-MEF2B				
MEF2D				
METTL4				
MFAP3L				
MICU2				
MLC1				
MMP21				
MMP7				
MRPL1				
MRPL43				
MRPS18B				
MSTN				
MTNR1A				
MYLK4				
MYNN				
NAPEPLD				
NCR2				
NDEL1				
NEK2				
NLGN2				
NOSTRIN				
NOXO1				
NPAS1				
NPL				
NR1H2				
NRIP2				
OR10A3				
OR10C1				
OR10G3				
OR2B3				
OR2C1				
OR2T3				
OR2W3				
OR4D2				
OR4N2				
OR51G2				
OR51L1				
OR5D16				
OR6C75				
OR6T1				
OR8K5				
OR9A2				
OR9K2				
OSBPL11				
P2RY2				
P4HTM				
PAAF1				
PAX3				
PCED1B				
PDPN				
PECR				
PEX13				
PGLYRP4				
PI16				
PIGB				
PIGU				
PIK3R3				
PKDCC				
PLAUR				
PLEK				
PLEKHS1				
POLR2B				
POPDC2				
PPM1N				
PQLC1				
PRB3				
PRSS35				
PSMD13				
PVRL3				
QRFPR				
RAB37				
RANBP3				
REN				
RFXANK				
RLN2				
RMDN3				
RNF186				
RNF215				
RNF32				
RNGTT				
RPAP2				
RSG1				
RSPH9				
RSPO4				
RTBDN				
RTN4RL1				
RTP1				
RUVBL2				
RXFP3				
S100PBP				
SCGN				
SDPR				
SETMAR				
SH2D7				
SLC13A4				
SLC1A5				
SLC22A15				
SLC25A12				
SLC25A17				
SLC25A48				
SLC33A1				
SLC35B3				
SLC5A3				
SNAPC3				
SNX21				
SNX5				
SP3				
SPACA7				
SPIB				
SPPL2A				
SSRP1				
SSX5				
ST3GAL3				
STARD7				
STAU2				
SUFU				
SUPT16H				
TAAR6				
TAB2				
TAMM41				
TAS2R38				
TBC1D21				
TBX15				
TFB2M				
TMED6				
TMEM174				
TMEM199				
TP53I13				
TP53I3				
TP63				
TRIM11				
TSSK3				
TTC4				
TVP23C				
UBAP1				
UBQLN1				
UPK1A				
UQCRC2				
USP39				
UTP18				
VANGL2				
VPS33A				
VPS37C				
VSIG2				
WBP1				
WBSCR28				
XPNPEP1				
ZBTB9				
ZNF114				
ZNF174				
ZNF19				
ZNF200				
ZNF239				
ZNF274				
ZNF300				
ZNF385D				
ZNF431				
ZNF529				
ZNF558				
ZNF567				
ZNF586				
ZNF587				
ZNF645				
ZNF668				
ZNF674				
ZNF707				
ZNF737				
ZNF823				
ZPBP2				
ZSCAN16				
A1CF				
A4GALT				
ABCD2				
ACAP2				
ACPP				
ACVR2B				
ADAP2				
ADPRH				
AGMAT				
AKR1B10				
ALKBH2				
ANKRD2				
ANKRD31				
APOL6				
AQP5				
ARID3C				
ARL6IP4				
ARMC10				
ASCC1				
ATCAY				
ATF7				
ATP5A1				
B3GAT3				
BACE2				
BBOX1				
BCAP29				
BCL2L12				
BLVRA				
BLVRB				
BTNL3				
BVES				
C10orf107				
C11orf48				
C12orf43				
C3orf38				
C3orf52				
C7orf43				
C9orf64				
CAND1				
CASQ1				
CCDC104				
CCDC112				
CCDC85A				
CCDC86				
CCRL2				
CCS				
CD1D				
CD300A				
CDKL5				
CEMP1				
CES4A				
CHRM3				
CLDND1				
CLIC6				
CLK4				
CLN8				
COCH				
COLEC11				
COMMD3				
CRISPLD1				
CRLF1				
CUEDC1				
DBX1				
DGAT2L6				
DHCR24				
DHRS13				
DLG4				
DLL3				
DMRTB1				
DNAJB8				
DNAJC18				
DNAJC22				
DNAJC28				
DNM1				
DPAGT1				
DPYSL3				
DUSP12				
ELL2				
ERG				
ERVMER34-1				
ETV5				
EXOSC9				
FA2H				
FAHD1				
FAM118A				
FAM221A				
FBXO47				
FGF22				
FKBP5				
FNDC8				
FOLR4				
FPR1				
FRZB				
FUS				
FZD3				
GABPB2				
GGT1				
GIMAP2				
GLRA3				
GMPPB				
GOT1				
GPD1				
GPR135				
GPR182				
GRIPAP1				
GSTA1				
GTF2H1				
HAO1				
HEMGN				
HEPACAM2				
HEXB				
HIATL1				
HLX				
HMGXB4				
HNF4G				
HOOK3				
HTR6				
HYAL2				
HYI				
IDH1				
IFIT3				
IFNW1				
IGHV2-5				
IGHV3-21				
IGLL5				
IGSF11				
IL22RA2				
IRF9				
IRGQ				
IST1				
ITGBL1				
KAT5				
KATNA1				
KBTBD8				
KCNA7				
KCNJ11				
KIAA1328				
KLC1				
KLHDC7B				
KLHL22				
KLHL23				
KRR1				
LAT				
LCLAT1				
LHX4				
LIPJ				
LMAN2L				
LRFN5				
LRP11				
LRP2BP				
MAGED1				
MALSU1				
MAP3K2				
MAPKAP1				
MARK1				
MFSD5				
MGAT3				
MGAT4C				
MMD2				
MOGAT2				
MPDU1				
MRPL2				
MSTO1				
MTF2				
MTRF1				
MYL5				
MYLIP				
NAAA				
NAT8				
NCKAP1				
NDUFS2				
NELFE				
NETO1				
NHEJ1				
NOTUM				
NOXRED1				
NRN1L				
NUDCD3				
OBFC1				
OBP2A				
OPN1SW				
OR10G7				
OR10J1				
OR10K1				
OR10V1				
OR2AG2				
OR4D11				
OR4P4				
OR51F1				
OR52E4				
OR52I1				
OR56B1				
OR6B1				
OR6C3				
OR6F1				
OR6X1				
OSGIN2				
PAQR7				
PDS5A				
PHF19				
PLA2G4A				
PLEKHB1				
PLEKHG7				
PPM1E				
PPP4R2				
PRPF31				
PSMD6				
RAB27A				
RASSF1				
RBM4B				
RBM5				
RBMS3				
RELA				
RFNG				
RGP1				
RHBDD1				
RUNDC1				
S1PR4				
SERPINA11				
SFTPD				
SIRT1				
SLC11A2				
SLC16A13				
SLC16A6				
SLC19A2				
SLC25A31				
SLC25A38				
SLC30A7				
SLC35A5				
SLC35F4				
SLC38A4				
SLC7A3				
SLC9A3R1				
SLC9A7				
SLCO3A1				
SLITRK1				
SLITRK2				
SNAP29				
SNAPC1				
ST3GAL1				
STAMBP				
STK32A				
STX16				
SYT13				
TAF9				
TAS2R20				
TBC1D12				
TBC1D7				
TCAIM				
TIGD2				
TINF2				
TLE4				
TMEM117				
TMEM176B				
TMEM39B				
TMEM40				
TMEM54				
TMIGD2				
TNFRSF14				
TNFRSF6B				
TRH				
TRIM48				
TTC19				
UGT8				
VRK1				
WARS				
WARS2				
WASF2				
WISP2				
YES1				
ZBTB17				
ZBTB32				
ZFP1				
ZKSCAN1				
ZMPSTE24				
ZMYND12				
ZNF101				
ZNF195				
ZNF2				
ZNF253				
ZNF287				
ZNF3				
ZNF34				
ZNF502				
ZNF503				
ZNF565				
ZNF648				
ZNF652				
ZNF71				
ZNF772				
ZNF98				
ZSCAN4				
ZSWIM1				
A4GNT				
AADAC				
ABCD1				
ABCD3				
ABCG4				
ABHD12B				
ABHD3				
ABRA				
ACOT7				
ACTR1B				
ALDOB				
AMIGO2				
ANGPTL6				
ANTXR2				
APBB1IP				
ARCN1				
ARMC7				
ARSD				
ASPHD2				
ATF2				
AUNIP				
BCL11A				
BCS1L				
BEND4				
BIRC7				
BIVM				
BLMH				
BSDC1				
BSND				
BTBD6				
C1QTNF7				
C1QTNF9B				
C1orf110				
C21orf59				
C2orf43				
C6orf58				
C7orf57				
C8G				
C8orf33				
CA6				
CAMK4				
CASC4				
CASP7				
CCDC24				
CCDC84				
CCDC96				
CCR2				
CCT5				
CD2BP2				
CD46				
CDC25A				
CDC6				
CDCA7				
CDK11B				
CDSN				
CERS3				
CHRNB3				
CLDN14				
CLEC14A				
CNOT6				
CNP				
CPNE8				
CREBRF				
CRYBB1				
CRYZL1				
CSNK1A1L				
DCDC2B				
DDX5				
DERA				
DFNB59				
DHRS4				
DNM1L				
DPF3				
DRD3				
DUSP15				
DYRK3				
ECH1				
EIF3F				
EIF4B				
ELK4				
EPCAM				
EQTN				
ERI1				
ERO1L				
ESR1				
ESRP1				
ETS2				
ETV2				
F2RL1				
FAM3D				
FAM45A				
FAM83A				
FAM83D				
FBXL7				
FBXO2				
FBXW7				
FFAR2				
FGG				
FLOT2				
FLVCR1				
FN3K				
FOLR2				
FOXN4				
FSTL1				
FUT8				
GCNT1				
GDAP1				
GHSR				
GIMAP4				
GLIS2				
GPR18				
GPRC5D				
GRAMD2				
HAUS7				
HCN1				
HELT				
HENMT1				
HFE				
HFE2				
HMGCR				
HORMAD2				
HPD				
HSF5				
HTR1D				
HTRA4				
IGHG1				
IGHV3-11				
IGHV3-23				
IGHV3-9				
IGKV3-20				
IKZF3				
IL13RA1				
IL1A				
ING1				
IPO7				
ITCH				
KATNAL1				
KCNQ4				
KIAA0247				
KIAA0930				
KLHL14				
KLK15				
KNSTRN				
KRTAP10-5				
LAPTM5				
LGALS4				
LGALS8				
LIPA				
LUZP2				
LYZL2				
MACROD2				
MATR3				
MDFIC				
MEIOB				
METAP1D				
METTL2A				
METTL2B				
MLST8				
MRGPRD				
MRGPRE				
MRM1				
MRPS10				
MYL7				
NAT2				
NCEH1				
NDUFB10				
NELFB				
NFIC				
NFS1				
NPEPPS				
NPLOC4				
NQO2				
NUDT9				
OPRK1				
OR10J5				
OR10S1				
OR1L3				
OR2AG1				
OR2T2				
OR4D10				
OR4K17				
OR51G1				
OR51I2				
OR5A1				
OR5D18				
OR5I1				
OR6K6				
OR6Q1				
OR7A17				
OR7C2				
ORM2				
PACSIN2				
PAQR5				
PCYT1A				
PDGFB				
PDYN				
PGK1				
PIGM				
PILRB				
PNMT				
POLR3D				
POMK				
POU2F2				
PPP1R9B				
PPP5C				
PROSC				
PRPF4				
PTGIR				
PTGR1				
PTPN9				
QPCTL				
QTRT1				
R3HDML				
RAB11FIP2				
RAB38				
RABGEF1				
RAF1				
RBM47				
RBM48				
REPIN1				
RNF139				
RPL4				
RPL7L1				
RSAD2				
RUNDC3B				
SAMD4B				
SCRN1				
SH3GL1				
SKOR1				
SLC10A5				
SLC18A2				
SLC23A2				
SLC25A35				
SLC2A1				
SLC35B1				
SLC7A1				
SMARCA1				
SMPDL3A				
SNUPN				
SNX7				
SPARC				
SPOCK1				
SS18				
STAT4				
STRN				
STX18				
STX4				
SUCLG1				
SYNGR3				
SYT14				
TAAR2				
TACR3				
TAF5				
TAF8				
TANK				
TAS2R19				
TAS2R5				
TBX6				
TCEA3				
TCP11				
TEX37				
TFAP2E				
TFEB				
TLE3				
TMEM202				
TMEM206				
TMEM237				
TMEM63B				
TMEM70				
TMEM95				
TMIGD1				
TNIP3				
TOLLIP				
TOR1B				
TREM2				
TRIM23				
TSPAN18				
TSSC1				
TTC24				
TTLL11				
TWF2				
UBE3D				
UBXN4				
UFSP2				
UNG				
UPP1				
URI1				
UROD				
VEGFB				
VIM				
WDR54				
WIPF3				
WISP3				
XKR8				
XRCC5				
YTHDF1				
ZBTB22				
ZBTB45				
ZCCHC16				
ZDHHC13				
ZER1				
ZNF319				
ZNF326				
ZNF469				
ZNF582				
ZNF704				
ZNF814				
ZNF829				
ZNF841				
ZRANB1				
ZWINT				
ZYG11B				
ABHD14A				
ACER1				
ACOT4				
ACTRT2				
ADPRM				
ADRA2B				
AGAP7				
AGBL4				
AKT1S1				
ALG2				
ALG6				
AMZ2				
ANKRD1				
AP2B1				
ARMC8				
ASGR2				
ATAT1				
ATF5				
ATOH1				
ATP6V1B2				
B3GNT7				
B4GALT3				
B9D1				
BCAT1				
BMP10				
BMP15				
BMP7				
BMP8B				
BPIFA2				
BPIFA3				
BRE				
C10orf54				
C11orf80				
C1QTNF6				
C6orf15				
C6orf89				
C9orf139				
CCDC34				
CCDC89				
CCNE1				
CCT2				
CCZ1				
CD14				
CD4				
CDKL1				
CDKN1A				
CHAC2				
CLDN16				
CLDN18				
CLEC12A				
CLEC3A				
CMBL				
CNR1				
CNTFR				
COL8A2				
COX18				
CRLF3				
CSTF2T				
CTPS1				
CTSL				
CTSV				
CYB5R1				
CYP26C1				
DCAF17				
DCTN2				
DMTN				
DNAJC2				
DNASE2B				
DUSP18				
DUSP5				
DYNC1LI2				
EAPP				
EDIL3				
EDN3				
ELOVL2				
EMB				
EPM2A				
ERF				
ESX1				
ETFDH				
EYA3				
FAHD2A				
FAM105A				
FAM126B				
FAM170A				
FAM207A				
FAM20B				
FAM212A				
FAM212B				
FAM47E-STBD1				
FAM57A				
FBLN5				
FBXL19				
FBXO33				
FGFBP1				
FHL3				
FOXP2				
FSCN1				
FUZ				
G2E3				
GABRR1				
GALR1				
GALR2				
GAMT				
GATA4				
GFRA1				
GFRA2				
GIPC2				
GLTPD1				
GMPS				
GNB3				
GNRHR				
GNS				
GORASP2				
GPHN				
GPR21				
GSTM4				
GTF2E1				
GUCY1B3				
GXYLT2				
HAPLN1				
HEMK1				
HIST3H3				
HOMER3				
HRH1				
HS6ST2				
HSD17B14				
HSPA14				
HSPD1				
HTR5A				
IDH2				
IL11RA				
IL20				
INCA1				
IPMK				
IZUMO4				
KBTBD4				
KCTD14				
KCTD20				
KDM4D				
KIAA1257				
KIAA2013				
KIF5C				
KLHDC8B				
KLHL10				
KLHL24				
KMO				
L3HYPDH				
LAMP2				
LCMT1				
LCN1				
LMNB1				
LMX1A				
LRRC1				
LRRC19				
LRRC20				
LRRC30				
LRRC59				
LRRTM1				
LTA4H				
LYNX1				
LYPD3				
MAP3K8				
MCRS1				
METTL21B				
MFSD2A				
MGAT4A				
MICB				
MMAB				
MOB3A				
MRGPRX4				
MRO				
MRPS27				
MSL3				
MTFR1				
NAF1				
NF2				
NMNAT3				
NNMT				
NSMF				
NT5C2				
NT5C3B				
NTRK2				
NUP50				
OAZ1				
OIP5				
OMD				
OPN3				
OR10G8				
OR13F1				
OR1B1				
OR2A2				
OR2AK2				
OR2D3				
OR4C12				
OR4F15				
OR51T1				
OR52N1				
OR52N4				
OR5AP2				
OR5B12				
OR5B21				
OR5K3				
OR5M1				
OR6B3				
OR6C6				
OR6C68				
OR7A10				
OR7A5				
OR7D2				
OR8B8				
OR8U1				
OR9I1				
OSGEP				
PAQR4				
PARM1				
PATZ1				
PCSK2				
PDK1				
PELI2				
PGD				
PGPEP1L				
PIGW				
PIP5KL1				
PPARG				
PPIP5K1				
PPP1R7				
PRKCA				
PRKRIR				
PROCA1				
PRPF38B				
PRPH				
PRR22				
PRR25				
PTDSS2				
PTGFR				
PTPN1				
PYGO1				
RAD51L3-RFFL				
RAPGEFL1				
RASSF8				
RBM46				
RCN3				
RENBP				
RGS6				
RNF135				
RNF26				
RNLS				
RNPEPL1				
ROPN1L				
RUNX1T1				
RXRA				
RYK				
S1PR2				
SC5D				
SCCPDH				
SCG3				
SEPP1				
SETD7				
SFRP5				
SH2D2A				
SH2D4B				
SHC3				
SKA3				
SKAP1				
SLAMF7				
SLC10A6				
SLC16A11				
SLC17A2				
SLC17A7				
SLC20A1				
SLC25A19				
SLC25A46				
SLC29A1				
SLC35E4				
SLC35F3				
SLC35G6				
SLC38A1				
SLC39A14				
SMURF2				
SNIP1				
SOBP				
SOCS6				
SORD				
SP2				
SP7				
SPN				
SRRD				
ST3GAL5				
ST6GALNAC3				
ST8SIA2				
STAU1				
STRADA				
SYT5				
TAAR1				
TADA2A				
TAF7L				
TANGO2				
TAS2R10				
TAS2R14				
TBK1				
TBKBP1				
TEFM				
TEX35				
TFDP1				
TFG				
TLR7				
TMEM173				
TMEM177				
TMEM19				
TMEM74B				
TMPRSS12				
TNFRSF1B				
TNNT3				
TOB2				
TOX4				
TREML1				
TRIM31				
TRMT6				
TSGA13				
TSPYL1				
TST				
TTC22				
TTC5				
TTLL1				
U2SURP				
USP15				
VAX2				
VEGFC				
WDR20				
WDR53				
WDR73				
WDR92				
WFDC8				
WNT10B				
WNT16				
WNT2				
XPO7				
XRCC3				
YARS				
ZDHHC1				
ZFP82				
ZFP90				
ZNF141				
ZNF157				
ZNF280B				
ZNF329				
ZNF384				
ZNF397				
ZNF404				
ZNF483				
ZNF492				
ZNF501				
ZNF557				
ZNF660				
ZNF800				
ZNF844				
AANAT				
ABHD16B				
ABHD2				
ABHD6				
ADCYAP1R1				
ADRB2				
ADTRP				
AGTR1				
AJAP1				
AKIP1				
ALDH1A2				
ALG9				
ALX4				
ANAPC7				
ANGPTL7				
ANKRD10				
ANKRD23				
AP5M1				
APEX1				
APEX2				
APOBEC3C				
AQP9				
ARAF				
ASPA				
ASUN				
ATXN7L3				
BAG4				
BAMBI				
BAX				
BCKDHB				
BHLHE40				
BID				
