Background	FLAGS	OMIM	HGMD	WES
SDK2		SLC24A5	GNE	RP1L1
COL18A1		C10orf11	RPGR	SNAP29
MYO9A		ALDH2	ETFDH	ST3GAL3
SIGLEC1		CYP11B2	INSR	HPSE2
COL22A1		GFAP	FLCN	AP4B1
FAM208B		HGD	G6PC	CYP24A1
MYH1		SLC16A2	ZIC2	SPR
NUP214		HR	KCNJ11	ALG8
TDRD6		RBM28	ATRX	C10orf2
TENM4		SERPINA3	TCIRG1	GCDH
TRANK1		A2M	CTNS	OFD1
ACAN		OGDH	EFNB1	FA2H
DOCK6		ACAT1	MC4R	SPG11
NOTCH1		AMACR	COL1A2	VPS13A
XIRP1		ATRX	SMAD4	BOLA3
CHTF18		RAG1	TP63	C19orf12
SVIL		COL4A5	ACADM	SLC40A1
UMODL1		COL4A3	PEX1	ATP13A2
HIVEP1		COL4A4	HBA2	PTPRC
KIAA1217		ALMS1	PRF1	KCNJ11
KIAA1549		ATP1A3	PTPN11	ASPM
KIF20B		ATP1A2	GRN	GLB1
NUP210		FOXF1	CYLD	IL10RA
PCNXL2		ASPSCR1	PORCN	KCTD7
RTTN		APP	PCCB	PKHD1
SBF1		APOE	SLC6A8	SACS
TECTA		PSEN2	STAT3	CACNA1S
CACNA1S		FAM20A	ITGB3	CASK
CEP250		WDR72	PLA2G6	EFHC1
COL27A1		C4orf26	KAL1	KCNQ2
GPR112		DLX3	HNF1B	CAPN3
VWA8		AMELX	TTR	CLN6
KALRN		FAM83H	EMD	DES
SPAG17		ENAM	SLC7A9	ST3GAL5
ZFHX4		KLK4	PMM2	MPV17
KIAA1109		MMP20	GUCY2D	UPF3B
MYH13		ACY1	SETX	APOE
ADAMTS7		APOA1	MYOC	RYR1
GOLGB1		GSN	FGA	TREM2
KIAA0556		TTR	NEB	C5orf42
NRAP		OSMR	COL4A3	RBP4
SIPA1L3		IL31RA	EYS	SLC52A2
ATP2C2		LYZ	TPP1	SUCLA2
DIDO1		SOD1	SURF1	WDR35
MYH6		TARDBP	GATA4	CSF1R
RTEL1		FIG4	SLC4A1	CYP1B1
SPATA31D1		OPTN	PARK2	DNAJC6
AKAP6		VCP	LAMB3	GBE1
DMXL2		UBQLN2	TYMP	RP1
